2021-06-19 14:30:05,428 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:05,457 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:05,457 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:05,832 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:08,274 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:08,275 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:12,116 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:12,116 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:12,116 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:12,830 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:12,834 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:12,835 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:13,251 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:13,252 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:13,252 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:13,579 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:13,693 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:13,693 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:14,038 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:14,086 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:14,087 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:14,341 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:30:14,489 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:30:14,489 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:30:14,626 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:41:44,026 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:41:44,027 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
2021-06-19 14:41:44,038 INFO    MainThread:3997421 [wandb_init.py:_resume_backend():259] resuming backend
2021-06-19 14:41:44,040 INFO    MainThread:3997421 [wandb_init.py:_pause_backend():250] pausing backend
2021-06-19 14:41:44,040 INFO    MainThread:3997421 [jupyter.py:save_ipynb():284] not saving jupyter notebook
